 标签ANT_2B 采集顺序:4B 4A 3A 3B 2A 2B 7B 7A 6B 6A 5B 5A * 2 MAC:b231f9e364c4
 141+18i 123+73i 89+110i 42+134i -16+146i -67+135i -111+100i -143+40i
 -47+51i -62+29i -68+6i -64-22i -53-43i -36-58i -9-66i 17-63i
 15-11i 19-2i 18+7i 16+12i 13+13i 8+12i 3+14i -2+17i
 166-57i 177+16i 162+76i 125+128i 62+168i -5+178i -73+160i -134+108i
 -22-156i 34-156i 87-131i 133-79i 155-21i 153+39i 118+101i 66+141i
 44+31i 30+45i 12+51i -6+50i -24+44i -42+31i -51+14i -52-8i
 -64+21i -68-8i -63-35i -46-57i -25-68i 0-71i 26-65i 43-54i
 -151+127i -187+63i -198-16i -184-84i -147-142i -82-186i -6-202i 77-191i
 -64-163i 11-178i 71-165i 122-130i 163-72i 176-7i 161+60i 116+125i
 -29-16i -23-23i -13-28i 0-31i 10-30i 20-25i 29-15i 36-3i
 -113-120i -60-151i 3-157i 58-144i 105-115i 142-64i 157-9i 149+50i
 -59+17i -60-8i -49-31i -32-51i -10-63i 11-64i 34-56i 61-38i
 -8-144i 45-139i 93-112i 124-74i 143-26i 144+34i 122+84i 81+124i
 62+24i 47+49i 26+62i 2+66i -26+60i -47+45i -62+22i -67-8i
 -15-17i -6-24i 2-25i 9-21i 13-14i 14-8i 16-3i 20+0i
 -85-153i -24-174i 47-167i 104-137i 150-88i 178-15i 171+53i 137+112i
 -136+64i -155+5i -149-49i -121-96i -72-134i -21-150i 37-145i 98-113i
 7-48i 26-38i 37-25i 44-9i 48+6i 44+22i 31+40i 12+52i
 52+49i 24+66i -3+69i -27+62i -49+46i -62+26i -69+5i -68-18i
 188+88i 143+146i 81+184i 1+200i -70+191i -133+154i -184+82i -205+1i
 -141+108i -175+48i -179-24i -154-86i -109-138i -43-174i 22-178i 85-157i
 3+34i -11+33i -24+26i -34+15i -38+1i -35-11i -29-22i -20-32i
 -63+143i -115+107i -148+55i -157-10i -145-66i -111-113i -55-147i 5-157i
 27+51i 10+58i -13+58i -34+50i -53+34i -65+9i -64-18i -53-45i

 标签ANT_2B 采集顺序:4B 4A 3A 3B 2A 2B 7B 7A 6B 6A 5B 5A * 2 MAC:b231f9e364c4
 -129-78i -92-123i -36-148i 20-149i 72-132i 119-90i 141-34i 141+40i
 64-20i 69+5i 62+27i 43+47i 22+59i -1+63i -28+56i -50+42i
 -20+6i -23-1i -20-7i -16-11i -10-13i -2-13i 5-15i 10-20i
 -180+11i -172-65i -135-120i -79-158i -5-177i 59-169i 114-137i 156-78i
 -35+141i -85+121i -124+82i -148+27i -152-24i -137-72i -98-119i -46-147i
 -38-37i -20-50i -2-52i 14-48i 30-41i 45-26i 54-5i 53+20i
 71-11i 71+18i 61+42i 42+61i 15+73i -11+72i -37+60i -55+42i
 184-77i 200-5i 183+76i 144+138i 89+183i 14+205i -62+192i -137+150i
 -14+171i -89+150i -138+111i -167+56i -175-16i -158-80i -117-133i -50-169i
 22+24i 12+28i 1+29i -11+26i -18+22i -24+16i -31+6i -37-5i
 70+143i 17+162i -44+157i -95+132i -135+90i -158+30i -154-29i -125-86i
 58+4i 56+31i 44+52i 23+64i -4+66i -27+60i -48+47i -66+25i
 -5+139i -62+126i -108+96i -141+46i -148-6i -131-67i -90-113i -33-144i
 -58-48i -34-67i -10-73i 16-69i 42-57i 57-38i 64-15i 61+14i
 11+9i 7+16i 2+19i -3+15i -7+9i -10+4i -14+0i -19-3i
 71+165i 6+179i -67+165i -122+129i -163+78i -184+9i -173-55i -134-113i
 154-34i 159+27i 137+79i 96+122i 36+152i -22+156i -78+135i -128+85i
 -16+47i -36+36i -48+21i -53+1i -51-17i -41-31i -22-42i 0-48i
 -29-70i 1-76i 31-69i 51-53i 63-33i 69-8i 66+13i 59+31i
 -138-145i -76-188i -5-203i 77-188i 140-148i 185-85i 201+8i 179+98i
 174-25i 173+42i 141+106i 95+149i 38+177i -31+177i -91+148i -140+96i
 8-34i 20-29i 29-18i 33-6i 31+8i 26+20i 18+30i 5+39i
 110-116i 145-68i 160-11i 152+54i 123+105i 77+141i 11+158i -49+149i
 -20-63i 3-65i 28-56i 47-41i 59-22i 62+5i 57+31i 44+57i

 标签ANT_2B 采集顺序:4B 4A 3A 3B 2A 2B 7B 7A 6B 6A 5B 5A * 2 MAC:b231f9e364c4
 135-62i 152-4i 139+59i 106+107i 60+140i -1+152i -57+137i -107+99i
 -16+65i -43+51i -57+32i -64+11i -64-13i -56-34i -40-51i -14-64i
 8-20i 17-16i 22-9i 23-1i 19+6i 13+12i 9+18i 6+25i
 127-121i 170-56i 179+8i 163+70i 120+128i 66+161i 3+170i -66+151i
 -98-108i -52-142i 4-153i 69-137i 117-102i 147-51i 152+20i 130+82i
 52-2i 49+16i 40+32i 26+44i 8+51i -13+51i -32+43i -48+27i
 -34+67i -58+45i -69+22i -70-4i -61-31i -44-51i -22-64i 2-70i
 -61+190i -127+154i -172+99i -194+22i -190-49i -161-113i -97-171i -20-203i
 -129-121i -69-166i -9-179i 53-169i 116-135i 155-84i 174-19i 165+56i
 -29+13i -32+2i -29-12i -21-26i -11-33i 1-34i 14-33i 24-29i
 -162-32i -140-86i -94-130i -41-152i 19-153i 85-129i 130-86i 154-29i
 -43+40i -59+22i -62+1i -56-21i -42-42i -26-55i -4-62i 27-62i
 -99-107i -52-141i 1-152i 59-139i 103-110i 133-67i 146-7i 135+51i
 69-14i 68+14i 56+39i 40+55i 20+66i -6+69i -31+60i -52+40i
 -17-6i -15-11i -12-14i -7-16i -3-17i 3-16i 11-14i 20-14i
 -160-78i -124-130i -65-167i -2-177i 62-166i 123-127i 158-70i 167-3i
